file,for_added,aria_from_text,aria_fallback,heading_aria_level,heading_relevel,heading_style
adu-plumbing/fl_adu_plumbing.html,0,1,0,0,0,bare
anode-rod-guide/fl_anode_rod_guide.html,14,0,0,0,0,bare
anode-rod-replacement/fl_anode_rod_replacement.html,0,0,0,4,0,bare
anti-scald-valve/fl_anti_scald_valve.html,8,0,0,0,0,bare
backflow-compliance/fl_backflow_compliance.html,11,0,0,0,0,bare
backflow-preventer/fl_backflow_preventer.html,8,0,0,0,0,bare
backflow-prevention/fl_backflow_prevention.html,7,3,0,0,0,bare
backflow/fl_backflow.html,6,0,0,1,0,bare
backwater-valve/fl_backwater_valve.html,8,0,0,0,0,bare
bathroom-addition-cost/fl_bathroom_addition_cost.html,11,0,0,0,0,bare
bathroom-addition/fl_bathroom_addition.html,0,0,9,1,0,bare
bathroom-cost/fl_bathroom_cost.html,0,9,0,0,0,bare
bathroom-exhaust-fan/fl_bathroom_exhaust_fan.html,13,0,0,1,0,bare
bathroom-faucet-replacement/fl_bathroom_faucet_replacement.html,13,0,0,2,0,bare
bathroom-remodel-plumbing/fl_bathroom_remodel_plumbing.html,12,0,0,0,0,bare
bathroom-rough-in-calc/fl_bathroom_rough_in_calc.html,14,0,0,0,0,bare
bathroom-ventilation/fl_bathroom_ventilation.html,16,0,0,0,0,bare
bathtub-replacement/fl_bathtub_replacement.html,11,0,0,1,0,bare
booster-pump/fl_booster_pump.html,0,13,0,3,0,bare
cast-iron-drain/fl_cast_iron_drain.html,9,0,0,2,0,bare
commercial-fixture-count/fl_commercial_fixture_count.html,16,0,0,0,0,bare
commercial-kitchen/fl_commercial_kitchen.html,4,0,0,0,0,bare
commercial-plumbing-code/fl_commercial_plumbing_code.html,14,0,0,1,0,bare
commercial-restroom-calc/fl_commercial_restroom_calc.html,4,7,0,1,0,bare
condo-plumbing/fl_condo_plumbing.html,0,10,0,2,0,bare
construction-defect/fl_construction_defect.html,6,13,0,1,0,bare
diy-vs-licensed/fl_diy_vs_licensed.html,7,0,0,0,0,bare
drain-cleaning-cost/fl_drain_cleaning_cost.html,11,0,0,0,0,bare
drain-cleaning/fl_drain_cleaning.html,10,0,0,2,0,bare
drain-cost/fl_drain_cost.html,13,0,0,2,0,bare
drain-health/fl_drain_health.html,1,24,0,0,0,bare
drain-odor/fl_drain_odor.html,7,0,0,0,0,bare
drain-vent/fl_drain_vent.html,4,0,0,2,0,bare
dwv-drain-sizing/fl_dwv_drain_sizing.html,13,0,0,0,0,bare
emergency-plumbing-cost/fl_emergency_plumbing_cost.html,10,0,0,0,0,bare
emergency-plumbing/fl_emergency_plumbing.html,10,0,0,1,0,bare
expansion-tank-prv/fl_expansion_tank_prv.html,0,0,0,1,0,bare
faucet-fixture/fl_faucet_fixture.html,9,0,0,2,0,bare
fire-sprinkler/fl_fire_sprinkler.html,10,3,0,1,0,bare
fixture-cost/fl_fixture_cost.html,10,0,0,0,0,bare
fixture-rough-in-heights/fl_fixture_rough_in_heights.html,11,0,0,0,0,bare
fixture-unit-calculator/fl_fixture_unit_calc.html,8,0,0,0,0,bare
flood-zone-plumbing/fl_flood_zone_plumbing.html,0,0,0,2,0,bare
floor-drain-install/fl_floor_drain_install.html,12,0,0,0,0,bare
food-truck-plumbing/fl_food_truck_plumbing.html,16,0,0,0,0,bare
garbage-disposal/fl_garbage_disposal.html,0,1,7,1,0,bare
gas-leak-detection/fl_gas_leak_detection.html,10,12,0,0,0,bare
gas-line-generator/fl_gas_line_generator.html,16,15,0,0,0,bare
gas-line-installation/fl_gas_line_installation.html,0,12,0,2,0,bare
gas-line-sizing-calc/fl_gas_line_sizing.html,15,0,0,0,0,bare
gas-line-sizing/fl_gas_line_sizing.html,13,0,2,0,0,bare
gas-line/fl_gas_line.html,6,0,0,2,0,bare
gas-meter-demand/fl_gas_meter_demand.html,3,3,0,1,0,bare
gas-pressure-test/fl_gas_pressure_test.html,5,0,0,2,0,bare
gas-propane-electric/fl_gas_propane_electric.html,0,0,6,0,0,bare
gas-tankless-sizing/fl_gas_tankless_sizing.html,5,16,0,1,0,bare
generator-gas-line/fl_generator_gas_line.html,15,6,0,0,0,bare
grease-interceptor-sizing/fl_grease_interceptor_sizing.html,3,16,0,1,0,bare
grease-trap-sizing/fl_grease_trap_sizing.html,21,10,0,0,0,bare
grease-trap/fl_grease_trap.html,9,3,0,0,0,bare
greywater-conservation/fl_greywater_conservation.html,0,16,2,1,0,bare
grinder-pump-guide/fl_grinder_pump_guide.html,3,7,0,1,0,bare
hard-water-cost/fl_hard_water_cost.html,8,2,0,1,0,bare
home-addition-plumbing/fl_home_addition_plumbing.html,15,10,0,0,0,bare
home-buyer/fl_home_buyer_plumbing.html,9,38,0,2,0,bare
hot-tub-spa/fl_hot_tub_spa.html,11,5,0,0,0,bare
hot-water-recirculation/fl_hot_water_recirculation.html,0,4,8,1,0,bare
hvac-condensate-drain/fl_hvac_condensate_drain.html,12,10,0,0,0,bare
inspector-prep/fl_inspector_prep.html,4,0,1,0,0,bare
irrigation-backflow-guide/fl_irrigation_backflow.html,13,0,0,0,0,bare
irrigation-compliance/fl_irrigation_compliance.html,11,0,0,0,0,bare
irrigation-winterization/fl_irrigation_winterization.html,8,0,0,0,0,bare
irrigation/fl_irrigation_guide.html,13,0,0,1,0,bare
kitchen-cost/fl_kitchen_cost.html,8,0,0,1,0,bare
kitchen-faucet-replacement/fl_kitchen_faucet_replacement.html,13,0,0,0,0,bare
laundry-plumbing/fl_laundry_plumbing.html,3,0,0,0,0,bare
leak-detection/fl_leak_detection.html,13,0,0,1,0,bare
licensed-plumber-verification/fl_licensed_plumber_verification.html,0,0,0,1,0,bare
main-water-line/fl_main_water_line.html,9,0,0,1,0,bare
maintenance-plan/fl_maintenance_plan.html,0,9,0,0,0,bare
master-shower-demand/fl_master_shower_demand.html,19,0,0,1,0,bare
medical-dental-plumbing/fl_medical_dental_plumbing.html,16,0,0,0,0,bare
new-construction/fl_new_construction.html,0,0,0,1,0,bare
outdoor-kitchen-plumbing/fl_outdoor_kitchen_plumbing.html,9,0,0,0,0,bare
outdoor-kitchen/fl_outdoor_kitchen.html,0,0,13,1,0,bare
outdoor-plumbing/fl_outdoor_plumbing.html,7,0,0,2,0,bare
outdoor-shower/fl_outdoor_shower.html,9,0,0,1,0,bare
permit-fee-estimator/fl_permit_fee_estimator.html,10,0,0,0,0,bare
permit-guide/fl_permit_guide.html,1,9,0,0,0,bare
permit-guide/fl_plumbing_permit_guide.html,5,0,0,0,0,bare
pipe-burst-freeze/fl_pipe_burst_freeze.html,0,0,9,1,0,bare
pipe-corrosion/fl_pipe_corrosion.html,11,0,0,0,0,bare
pipe-insulation-calc/fl_pipe_insulation_calc.html,17,0,0,0,0,bare
pipe-life-expectancy/fl_pipe_life_expectancy.html,4,2,5,0,0,bare
pipe-lining-vs-bursting/fl_pipe_repair_comparison.html,0,0,0,1,0,bare
pipe-material-comparison/fl_pipe_material_comparison.html,11,0,0,0,0,bare
pipe-material-guide/fl_pipe_material_guide.html,9,0,0,2,0,bare
plumbing-emergency/fl_plumbing_emergency.html,0,41,0,1,0,bare
plumbing-leak-repair-cost/fl_plumbing_leak_repair_cost.html,16,0,0,0,0,bare
plumbing-noise/fl_plumbing_noise.html,8,20,0,1,0,bare
plumbing-permit-cost/fl_plumbing_permit_cost.html,9,0,0,0,0,bare
plumbing-presale-inspection/fl_plumbing_presale_inspection.html,11,0,0,0,0,bare
pool-equipment/fl_pool_equipment.html,0,1,0,0,0,bare
pool-heater-gas/fl_pool_heater_gas.html,6,12,0,1,0,bare
pool-leak/fl_pool_leak.html,10,0,0,1,0,bare
pool-plumbing-calculator/fl_pool_plumbing_calculator.html,32,0,0,0,0,bare
pool-pump-sizing/fl_pool_pump_sizing.html,33,0,0,0,0,bare
presale-inspection/fl_presale_inspection.html,6,0,0,0,0,bare
pressure-reducing-valve/fl_pressure_reducing_valve.html,12,0,0,0,0,bare
radiant-floor/fl_radiant_floor.html,0,4,0,1,0,bare
rainwater-harvesting/fl_rainwater_harvesting.html,1,0,1,0,0,bare
reclaimed-water/fl_reclaimed_water.html,4,0,0,0,0,bare
rental-plumbing/fl_rental_plumbing.html,0,6,4,1,0,bare
repipe-cost/fl_repipe_cost.html,4,11,0,2,0,bare
repipe-estimator/fl_whole_house_repipe.html,12,0,0,2,0,bare
repipe-material-comparison/fl_repipe_material.html,10,0,0,0,0,bare
repiping-cost/fl_repiping_cost.html,12,0,0,0,0,bare
repiping/fl_repiping.html,6,0,0,2,0,bare
rough-in-calculator/fl_rough_in_calculator.html,0,5,4,0,0,bare
rough-in-heights/fl_rough_in_heights.html,10,0,0,0,0,bare
running-toilet/fl_running_toilet.html,7,0,0,0,0,bare
rv-dock-plumbing/fl_rv_dock_plumbing.html,18,0,0,2,0,bare
septic-guide/fl_septic_guide.html,6,0,1,0,0,bare
septic-pumping-calc/fl_septic_pumping_calc.html,11,0,0,0,0,bare
septic-system/fl_septic_system.html,9,0,0,2,0,bare
septic-tank-calculator/fl_septic_tank_calculator.html,14,0,0,0,0,bare
septic/fl_septic.html,6,0,0,2,0,bare
sewage-ejector/fl_sewage_ejector.html,0,0,0,1,0,bare
sewer-camera-inspection/fl_sewer_camera_inspection.html,10,0,0,0,0,bare
sewer-cleanout-guide/fl_sewer_cleanout_guide.html,9,0,0,0,0,bare
sewer-drain-diagnosis/fl_sewer_drain_diagnosis.html,10,0,0,0,0,bare
sewer-line-cost/fl_sewer_line_cost.html,13,0,0,2,0,bare
sewer-line/fl_sewer_line_guide.html,0,12,0,1,0,bare
sewer-root-inspection/fl_sewer_root_inspection.html,11,12,0,0,0,bare
shower-diverter-valve/fl_shower_diverter_valve.html,0,0,0,3,0,bare
shower-multi-head/fl_shower_multi_head.html,16,0,0,0,0,bare
shower-pan-waterproofing/fl_shower_pan_waterproofing.html,15,0,0,0,0,bare
shower-remodel/fl_shower_remodel.html,0,11,0,1,0,bare
shower-system-upgrade/fl_shower_system_upgrade.html,15,0,0,1,0,bare
shower-valve-antiscald/fl_shower_valve_antiscald.html,4,13,0,1,0,bare
shower-valve/fl_shower_valve.html,6,0,0,1,0,bare
slab-leak-diagnosis/fl_slab_leak_diagnosis.html,6,0,0,0,0,bare
slab-leak/fl_slab_leak.html,10,0,0,2,0,bare
slab-repair/fl_slab_repair.html,11,0,0,1,0,bare
solar-hpwh/fl_solar_hpwh.html,12,0,0,0,0,bare
solar-wh-sizing/fl_solar_wh_sizing.html,15,0,0,0,0,bare
stormwater-drain/fl_stormwater_drain.html,20,0,0,1,0,bare
sump-pump-sizing/fl_sump_pump_sizing.html,19,0,0,0,0,bare
supply-pressure-loss/fl_supply_pressure_loss.html,22,0,0,0,0,bare
tankless-descaling/fl_tankless_descaling.html,11,0,0,0,0,bare
tankless-error-codes/fl_tankless_error_codes.html,8,0,1,0,0,bare
tankless-sizing/fl_tankless_sizing.html,11,8,0,0,0,bare
tankless-sizing/fl_tankless_water_heater.html,8,0,0,0,0,bare
tankless-venting/fl_tankless_venting.html,3,13,0,1,0,bare
toilet-repair/fl_toilet_repair.html,0,8,0,0,0,bare
tpr-valve-guide/fl_tpr_valve_guide.html,9,10,0,0,0,bare
trenchless-lining/fl_trenchless_lining.html,0,1,14,2,0,bare
tub-to-shower/fl_tub_to_shower.html,9,0,0,2,0,bare
utility-locating/fl_utility_locating.html,9,5,0,0,0,bare
vacation-rental-plumbing/fl_vacation_rental_plumbing.html,0,17,0,1,0,bare
warranty-claim-guide/fl_warranty_claim_guide.html,7,0,0,0,0,bare
water-bill/fl_water_bill.html,0,12,0,0,0,bare
water-conservation/fl_water_conservation.html,4,1,0,0,0,bare
water-damage-claim/fl_water_damage_claim.html,13,0,0,1,0,bare
water-filtration/fl_water_filtration.html,6,0,0,2,0,bare
water-hammer-arrestor/fl_water_hammer_arrestor.html,15,0,0,2,0,bare
water-heater-age-decoder/fl_wh_age_decoder.html,7,0,0,0,0,bare
water-heater-efficiency/fl_water_heater_efficiency.html,0,0,0,1,0,bare
water-heater-energy-comparison/fl_wh_energy_comparison.html,10,0,0,0,0,bare
water-heater-permit/fl_water_heater_permit.html,13,33,0,1,0,bare
water-heater-rebate/fl_water_heater_rebate.html,11,0,0,0,0,bare
water-heater-sizing/fl_water_heater_sizing.html,12,2,0,0,0,bare
water-heater-troubleshooter/fl_water_heater_troubleshooter.html,8,0,0,0,0,bare
water-meter-leak/fl_water_meter_leak.html,9,0,0,2,0,bare
water-meter-shutoff/fl_water_meter_shutoff.html,0,0,4,1,0,bare
water-pressure-loss-calc/fl_water_pressure_loss.html,20,0,0,0,0,bare
water-pressure/fl_water_pressure.html,0,17,0,0,0,bare
water-safety/fl_water_safety.html,5,7,1,1,0,bare
water-softener-sizing/fl_water_softener_sizing.html,11,0,0,0,0,bare
water-softener/fl_water_softener.html,7,6,1,0,0,bare
water-treatment/fl_water_treatment.html,5,10,0,1,0,bare
well-pump-pressure/fl_well_pump_pressure.html,15,9,0,0,0,bare
well-pump/fl_well_pump.html,9,1,0,0,0,bare
well-water-treatment/fl_well_water_treatment.html,11,0,0,1,0,bare
well-water/fl_well_water.html,2,15,0,1,0,bare
whole-home-repiping/fl_whole_home_repiping.html,12,0,0,0,0,bare
